t,formal-private-sector-wage-rate-index(december-1978=100)(nominal)-monthly,merchandise-exports-total-quarterly,month-end-a-exchange-rates-monthly,monthly-average-exchange-rates-monthly
2024-01-01 05:30:00,8970.105834776761,2319.76356262056,1354.244213391807,1361.3199316556943
2024-02-01 05:30:00,7378.487987472231,87.4466718212775,-885.2436929766839,-877.3497278532309
2024-03-03 05:30:00,8719.418185144812,2250.5823404219177,1245.7275412254305,1254.1559501023733
2024-04-03 05:30:00,8434.889634128573,1643.0670628108046,664.5509223135505,675.4040566154544
2024-05-04 05:30:00,7959.279230408934,731.5949391132749,-249.91145162640936,-244.10357004142202
2024-06-04 05:30:00,8586.208450477128,1915.3963352654246,932.3772390510401,935.6066831954195
2024-07-05 05:30:00,8131.936291904843,1376.593443165506,390.29756146823775,392.1234206288158
2024-08-05 05:30:00,8407.125266794279,1306.6027910228238,321.9813622122124,324.89126945330247
2024-09-05 05:30:00,8072.182135102153,1315.1207282354194,349.03658240255993,352.9061891199081
2024-10-06 05:30:00,8327.52506593663,1493.2705537140796,499.96147462832744,504.7971465036959
2024-11-06 05:30:00,8300.977944916785,442.8617856063713,-538.6681999756831,-534.75220925572
2024-12-07 05:30:00,8330.635446228815,1491.5115018795586,510.50001189694126,514.273756785338
